HomeTeamName,GuestTeamName,Status,Goal,Prediction,Probability
UDG Tenerife Sur Women II,CFF Caceres Women,33,0,0.0,0.16933912
Pyunik Yerevan,FC Urartu,32,0,0.0,0.16933912
FK Tuzla City,Mladost Doboj Kakanj,1,0,1.0,0.7041934
Bournemouth,Man Utd,1,0,0.0,0.37236345
Wigan,Swansea,2,0,1.0,0.66741276
FK Kom Podgorica,OFK Titograd,2,0,1.0,0.98757976
Einheit Rudolstadt,Carl Zeiss Jena II,2,0,1.0,0.6307041
Puchov,MFk Skalica,2,0,1.0,0.7959402
Radnicki Obrenovac,FK Radnicki Novi Belgrad,2,0,1.0,0.71226555
Akademija Pandev,Rabotnicki Skopje,2,0,1.0,0.63541174
Velez Mostar,Sloboda Tuzla,3,0,1.0,0.50489336
FK Ryazan,Saturn Ramenskoye,14,0,0.0,0.26084715
FC Copenhagen U19,Silkeborg IF U19,31,0,0.0,0.24338204
Sabail FC,Keshla FK,28,0,0.0,0.13770579
Vorskla Poltava,Desna Chernihiv,29,0,0.0,0.0715359
Vanløse,HIK,29,0,0.0,0.08836052
Lyn Fotball Women,Røa Women,30,0,0.0,0.2555618
Helsingborg,Elfsborg,30,0,0.0,0.08836052
Ratchaburi FC,Port FC,30,0,0.0,0.089560434
Sokol Aleksandrow,Lechia Tomaszow Mazowiecki,30,0,0.0,0.2201155
Kremin Kremenchuk,Ahrobiznes Volochysk,31,0,0.0,0.16933912
Sandviken Women,Kolbotn Women,31,0,0.0,0.16933912
Hammarby,BK Hacken,31,0,0.0,0.16933912
Lechia Zielona Góra,Ruch Chorzow,31,0,0.0,0.08836052
Konyaspor,Genclerbirligi,31,0,0.0,0.16933912
Falkenbergs FF,IFK Eskilstuna,31,0,0.0,0.25898412
AIK,GIF Sundsvall,32,0,0.0,0.16809578
Sirius,Kalmar FF,32,0,0.0,0.29389513
St Pauli,Karlsruhe,32,0,0.0,0.2879431
Erzgebirge Aue,Heidenheim,32,0,0.0,0.24541521
Hajduk Split U19,NK Sesvete U19,32,0,0.0,0.49711
Optik Rathenow,BSG Chemie Leipzig,1,0,1.0,0.71030086
